[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | （１） | 別に厚生労働大臣が定める状態の患者に対し、月２回以上訪問診療を行っ ている場合 ① 単一建物診療患者が１人の場合 4,985点 ② 単一建物診療患者が２人以上９人以下の場合 4,125点 ③ 単一建物診療患者が10人以上19人以下の場合 2,625点 ④ 単一建物診療患者が20人以上49人以下の場合 2,205点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | （３） | 月２回以上訪問診療等を行っている場合であって、うち１回以上情報通信 機器を用いた診療を行っている場合（（１）及び（２）の場合を除く。） ① 単一建物診療患者が１人の場合 2,774点 ② 単一建物診療患者が２人以上９人以下の場合 1,550点 ③ 単一建物診療患者が10人以上19人以下の場合 805点 ④ 単一建物診療患者が20人以上49人以下の場合 720点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | （５） | 月１回訪問診療等を行っている場合であって、２月に１回に限り情報通信 機器を用いた診療を行っている場合 ① 単一建物診療患者が１人の場合 1,380点 ② 単一建物診療患者が２人以上９人以下の場合 768点 ③ 単一建物診療患者が10人以上19人以下の場合 395点 ④ 単一建物診療患者が20人以上49人以下の場合 344点 ⑤ ①から④まで以外の場合 292点 ２ 在宅療養支援診療所又は在宅療養支援病院（１に規定するものを除く。）の場 合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | 注１　（１） | 単一建物診療患者が１人の場合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | 注１　（２） | 単一建物診療患者が２人以上９人以下の場合
[告示] Ｃ００２ 在宅時医学総合管理料（月１回） | 注１　（３） | 単一建物診療患者が10人以上19人以下の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | （１） | 別に厚生労働大臣が定める状態の患者に対し、月２回以上訪問診療を行っ ている場合 ① 単一建物診療患者が１人の場合 3,885点 ② 単一建物診療患者が２人以上９人以下の場合 3,225点 ③ 単一建物診療患者が10人以上19人以下の場合 2,865点 ④ 単一建物診療患者が20人以上49人以下の場合 2,400点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | （３） | 月２回以上訪問診療等を行っている場合であって、うち１回以上情報通信 機器を用いた診療を行っている場合（（１）及び（２）の場合を除く。） ① 単一建物診療患者が１人の場合 2,234点 ② 単一建物診療患者が２人以上９人以下の場合 1,250点 ③ 単一建物診療患者が10人以上19人以下の場合 865点 ④ 単一建物診療患者が20人以上49人以下の場合 780点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | （５） | 月１回訪問診療等を行っている場合であって、２月に１回に限り情報通信 機器を用いた診療を行っている場合 ① 単一建物診療患者が１人の場合 1,110点 ② 単一建物診療患者が２人以上９人以下の場合 618点 ③ 単一建物診療患者が10人以上19人以下の場合 425点 ④ 単一建物診療患者が20人以上49人以下の場合 373点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | （１） | 別に厚生労働大臣が定める状態の患者に対し、月２回以上訪問診療を行っ ている場合 ① 単一建物診療患者が１人の場合 3,585点 ② 単一建物診療患者が２人以上９人以下の場合 2,955点 ③ 単一建物診療患者が10人以上19人以下の場合 2,625点 ④ 単一建物診療患者が20人以上49人以下の場合 2,205点 ⑤ ①から④まで以外の場合
